pais,torneo,fecha,dia,local,visitante,goles_local,goles_visitante
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 21 2014,nigeria-F,bosnia_herzegovina-F,1,0
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 21 2014,germany-G,ghana-G,2,2
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 22 2014,portugal-G,usa-G,2,2
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 22 2014,belgium-H,russia-H,1,0
worldcup2014,Torneo WorldCup 2014,Fecha 2,Jun 22 2014,algeria-H,south_korea-H,4,2
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 23 2014,Brasil-A,cameroon-A,4,1
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 23 2014,mexico-A,croatia-A,3,1
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 23 2014,spain-B,australia-B,3,0
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 23 2014,netherlands-B,Chile-B,2,0
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 24 2014,Colombia-C,japan-C,4,1
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 24 2014,greece-C,ivory_coast-C,2,1
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 24 2014,Uruguay-D,italy-D,1,0
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 24 2014,costa_rica-D,england-D,0,0
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 25 2014,switzerland-E,honduras-E,3,0
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 25 2014,ecuador-E,france-E,0,0
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 25 2014,Argentina-F,nigeria-F,3,2
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 25 2014,bosnia_herzegovina-F,iran-F,3,1
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 26 2014,germany-G,usa-G,1,0
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 26 2014,portugal-G,ghana-G,2,1
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 26 2014,belgium-H,south_korea-H,1,0
worldcup2014,Torneo WorldCup 2014,Fecha 3,Jun 26 2014,algeria-H,russia-H,1,1
worldcup2014,Torneo WorldCup 2014,Fecha 1/8,Jun 28 2014,Brasil-A,Chile-B,1[3],1[2]
worldcup2014,Torneo WorldCup 2014,Fecha 1/8,Jun 28 2014,Colombia-C,Uruguay-D,2,0
worldcup2014,Torneo WorldCup 2014,Fecha 1/8,Jun 29 2014,netherlands-B,mexico-A,2,1
worldcup2014,Torneo WorldCup 2014,Fecha 1/8,Jun 29 2014,costa_rica-D,greece-C,1[5],1[3]
worldcup2014,Torneo WorldCup 2014,Fecha 1/8,Jun 30 2014,france-E,nigeria-F,2,0
worldcup2014,Torneo WorldCup 2014,Fecha 1/8,Jun 30 2014,germany-G,algeria-H,2,1
worldcup2014,Torneo WorldCup 2014,Fecha 1/8,Jul 01 2014,Argentina-F,switzerland-E,1,0
worldcup2014,Torneo WorldCup 2014,Fecha 1/8,Jul 01 2014,belgium-H,usa-G,2,1
worldcup2014,Torneo WorldCup 2014,Fecha 1/4,Jul 04 2014,germany-G,france-E,1,0
worldcup2014,Torneo WorldCup 2014,Fecha 1/4,Jul 04 2014,Brasil-A,Colombia-C,2,1
worldcup2014,Torneo WorldCup 2014,Fecha 1/4,Jul 05 2014,Argentina-F,belgium-H,1,0
worldcup2014,Torneo WorldCup 2014,Fecha 1/4,Jul 05 2014,netherlands-B,costa_rica-D,0[4],0[3]
worldcup2014,Torneo WorldCup 2014,Fecha 1/2,Jul 08 2014,Brasil-A,germany-G,1,7
worldcup2014,Torneo WorldCup 2014,Fecha 1/2,Jul 09 2014,Argentina-F,netherlands-B,0[4],0[2]
worldcup2014,Torneo WorldCup 2014,Fecha 1/1,Jul 13 2014,germany-G,Argentina-F,1,0
