torneo,fecha,dia,local,visitante,goles_local,goles_visitante
Mundial 2026,Fecha 3,Jun 25 2026,Paraguay-D,Australia-D,1,0
Mundial 2026,Fecha 3,Jun 25 2026,Turquía-D,Estados Unidos-D,1,0
Mundial 2026,Fecha 3,Jun 26 2026,Noruega-I,Francia-I,1,0
Mundial 2026,Fecha 3,Jun 26 2026,Senegal-I,Irak-I,1,0
Mundial 2026,Fecha 3,Jun 26 2026,Cabo Verde-H,Arabia Saudita-H,1,0
Mundial 2026,Fecha 3,Jun 26 2026,Uruguay-H,España-H,1,0
Mundial 2026,Fecha 3,Jun 26 2026,Egipto-G,Irán-G,1,0
Mundial 2026,Fecha 3,Jun 26 2026,Nueva Zelanda-G,Bélgica-G,1,0
Mundial 2026,Fecha 3,Jun 27 2026,Croacia-L,Ghana-L,1,0
Mundial 2026,Fecha 3,Jun 27 2026,Panamá-L,Inglaterra-L,1,0
Mundial 2026,Fecha 3,Jun 27 2026,Colombia-K,Portugal-K,1,0
Mundial 2026,Fecha 3,Jun 27 2026,RD de Congo-K,Uzbekistán-K,1,0
Mundial 2026,Fecha 3,Jun 27 2026,Argelia-J,Austria-J,1,1
Mundial 2026,Fecha 3,Jun 27 2026,Jordania-J,Argentina-J,1,0
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/4,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/4,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/4,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/4,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/2,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/2,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/1,Jun 27 2026,undefined,undefined,99,99
